Platform,Subject,Category/Unit,Module/Topic,Rating,MCQs
Marrow,Pathology,NERVOUS SYSTEM,"Degenerative, Toxic & Metabolic CNS disorders",4.4,17
Marrow,Pathology,NERVOUS SYSTEM,CNS Tumours,4.4,20
Marrow,Pathology,NERVOUS SYSTEM,Peripheral nerves & Neuromuscular pathology,4.4,16
Marrow,Community Medicine,HISTORY OF MEDICINE,History of Medicine,4.4,24
Marrow,Community Medicine,CONCEPTS OF HEALTH AND DISEASE,Health Determinants and Indicators,4.4,22
Marrow,Community Medicine,CONCEPTS OF HEALTH AND DISEASE,Concepts of Disease and Prevention,4.4,26
Marrow,Community Medicine,EPIDEMIOLOGY,Principles of Epidemiology,4.5,31
Marrow,Community Medicine,EPIDEMIOLOGY,Descriptive Epidemiology,4.5,17
Marrow,Community Medicine,EPIDEMIOLOGY,Analytical Epidemiology,4.5,33
Marrow,Community Medicine,EPIDEMIOLOGY,Experimental Epidemiology,4.5,19
Marrow,Community Medicine,EPIDEMIOLOGY,Basic Definitions in Infectious Disease Epidemiology,4.5,15
Marrow,Community Medicine,EPIDEMIOLOGY,Dynamics of Disease Transmission,4.6,20
Marrow,Community Medicine,EPIDEMIOLOGY,Principles of Immunization and Vaccination,4.5,23
Marrow,Community Medicine,EPIDEMIOLOGY,Vaccine Production and Storage,4.6,17
Marrow,Community Medicine,EPIDEMIOLOGY,Sterilization and Disinfection,4.5,23
Marrow,Community Medicine,SCREENING,Screening,4.5,32
Marrow,Community Medicine,EPIDEMIOLOGY OF COMMUNICABLE DISEASES,Viral Respiratory Infections,4.4,18
Marrow,Community Medicine,EPIDEMIOLOGY OF COMMUNICABLE DISEASES,Bacterial Respiratory Infections,4.5,23
Marrow,Community Medicine,EPIDEMIOLOGY OF COMMUNICABLE DISEASES,Intestinal Infections,4.4,31
Marrow,Community Medicine,EPIDEMIOLOGY OF COMMUNICABLE DISEASES,Arthropod-Borne Infections,4.4,22
Marrow,Community Medicine,EPIDEMIOLOGY OF COMMUNICABLE DISEASES,Zoonotic Infections - Viral,4.5,18
Marrow,Community Medicine,EPIDEMIOLOGY OF COMMUNICABLE DISEASES,Zoonotic Infections - Bacterial & Parasitic,4.6,12
Marrow,Community Medicine,EPIDEMIOLOGY OF COMMUNICABLE DISEASES,STDs and Surface Infections,4.4,30
Marrow,Community Medicine,EPIDEMIOLOGY OF NON-COMMUNICABLE DISEASES,Non-Communicable Diseases - Cardiovascular Diseases and Diabetes,4.4,21
Marrow,Community Medicine,EPIDEMIOLOGY OF NON-COMMUNICABLE DISEASES,"Non-Communicable Diseases - Cancer, Obesity and Blindness",4.5,18
Marrow,Community Medicine,INDIAN HEALTH PROGRAMMES,National Health Programmes I - NVBDCP,4.4,18
Marrow,Community Medicine,INDIAN HEALTH PROGRAMMES,"National Health Programmes II - NLEP, NTEP & NACO",4.6,24
Marrow,Community Medicine,INDIAN HEALTH PROGRAMMES,"National Health Programmes III - NIS, JSY, RBSK and Others",4.5,39
Marrow,Community Medicine,DEMOGRAPHY AND FAMILY PLANNING,"Demography I: Demographic Cycle, Annual Growth Rate and Age Pyramid",4.5,16
Marrow,Community Medicine,DEMOGRAPHY AND FAMILY PLANNING,Demography II: Demographic indicators,4.5,23
Marrow,Community Medicine,DEMOGRAPHY AND FAMILY PLANNING,Family Planning,4.5,21
Marrow,Community Medicine,"PREVENTIVE OBSTETRICS, PAEDIATRICS AND GERIATRICS","Preventive Obstetrics, Paediatrics and Geriatrics",4.5,28
Marrow,Community Medicine,NUTRITION AND HEALTH,Energy Metabolism and Macronutrients,4.4,16
Marrow,Community Medicine,NUTRITION AND HEALTH,Micronutrients and Water,4.3,16
Marrow,Community Medicine,NUTRITION AND HEALTH,Food Quality and Processing,4.5,9
Marrow,Community Medicine,MEDICINE AND SOCIAL SCIENCES,Concepts of Sociology and Psychology,4.5,20
Marrow,Community Medicine,MEDICINE AND SOCIAL SCIENCES,Social Organization and Economics,4.4,24
Marrow,Community Medicine,ENVIRONMENT AND HEALTH,Water - I: Sources and purification of water,4.4,28
Marrow,Community Medicine,ENVIRONMENT AND HEALTH,Water- II: Disinfection of water,4.5,15
Marrow,Community Medicine,ENVIRONMENT AND HEALTH,Water - III: Water Quality and Standards,4.5,22
Marrow,Community Medicine,ENVIRONMENT AND HEALTH,Environmental Meteorology,4.5,24
Marrow,Community Medicine,ENVIRONMENT AND HEALTH,Housing and Ventilation,4.4,14
Marrow,Community Medicine,ENVIRONMENT AND HEALTH,"Light, Sound and Radiation",4.4,19
Marrow,Community Medicine,ENVIRONMENT AND HEALTH,Waste and Sewage Disposal,4.4,22
Marrow,Community Medicine,ENVIRONMENT AND HEALTH,Medical Entomology - Mosquitoes and Flies,4.5,22
Marrow,Community Medicine,ENVIRONMENT AND HEALTH,"Medical Entomology - Ticks, Fleas and Mites",4.5,19
Marrow,Community Medicine,ENVIRONMENT AND HEALTH,Methods of Pest Control,4.4,19
Marrow,Community Medicine,BIOMEDICAL WASTE MANAGEMENT,Biomedical Waste Management,4.5,23
Marrow,Community Medicine,DISASTER MANAGEMENT,Disaster Management,4.5,20
Marrow,Community Medicine,OCCUPATIONAL HEALTH,Occupational Health Diseases,4.5,16
Marrow,Community Medicine,OCCUPATIONAL HEALTH,ESI and Factories Act,4.6,15
Marrow,Community Medicine,COMMUNICATION FOR HEALTH EDUCATION,Communication for Health Education,4.4,21
Marrow,Community Medicine,HEALTHCARE OF THE COMMUNITY,Health Planning and Management,4.4,20
Marrow,Community Medicine,HEALTHCARE OF THE COMMUNITY,Healthcare In India,4.5,24
Marrow,Community Medicine,HEALTHCARE OF THE COMMUNITY,Healthcare in India- IPHS 2022 Update,4.5,11
Marrow,Community Medicine,INTERNATIONAL HEALTH,International Health,4.5,25
Marrow,Community Medicine,BIOSTATISTICS,Descriptive Statistics I - Probability and Data,4.5,24
Marrow,Community Medicine,BIOSTATISTICS,Descriptive Statistics II - Measures of Location,4.5,17
Marrow,Community Medicine,BIOSTATISTICS,Descriptive Statistics III - Measures of Dispersion,4.5,25
Marrow,Community Medicine,BIOSTATISTICS,Descriptive Statistics IV - Measures of Position,4.5,11
Marrow,Community Medicine,BIOSTATISTICS,Inferential Statistics,4.5,13
Marrow,Community Medicine,BIOSTATISTICS,Concepts in Hypothesis Testing,4.5,13
Marrow,Community Medicine,BIOSTATISTICS,Tests of Significance,4.5,21
Marrow,Community Medicine,BIOSTATISTICS,Correlational and Predictive Techniques,4.5,20
Marrow,Community Medicine,BIOSTATISTICS,Facets of Clinical Research and Biostatistics,4.5,18
Marrow,Community Medicine,MENTAL HEALTH AND GENETICS,Mental Health,4.4,15
Marrow,Community Medicine,MENTAL HEALTH AND GENETICS,Genetics and Health,4.5,14
Marrow,Forensic Medicine,IDENTIFICATION,Skeletal and Dental Age Determination,4.4,18
Marrow,Forensic Medicine,IDENTIFICATION,"Race, Sex and Stature Determination",4.6,19
Marrow,Forensic Medicine,IDENTIFICATION,Fingerprint and Tattoos,4.4,14
Marrow,Forensic Medicine,MEDICAL JURISPRUDENCE,"BNS, BNSS, and BSA",4.4,26
Marrow,Forensic Medicine,"DEATH, PM CHANGES",Death and Post-Mortem Changes,4.5,29
Marrow,Forensic Medicine,MEDICO LEGAL AUTOPSY,Medico Legal Autopsy,4.4,12
Marrow,Forensic Medicine,INJURIES,Mechanical Injuries,4.4,20
Marrow,Forensic Medicine,INJURIES,Regional injuries,4.4,27
Marrow,Forensic Medicine,INJURIES,Thermal Injuries,4.4,23
Marrow,Forensic Medicine,INJURIES,Firearm Injuries and Blast Injuries,4.4,29
Marrow,Forensic Medicine,ASPHYXIA,Mechanical Asphyxia,4.4,26
Marrow,Forensic Medicine,ASPHYXIA,Drowning,4.4,12
Marrow,Forensic Medicine,SEXUAL OFFENCES AND ABORTION,Sexual Offences and Abortion,4.5,22
Marrow,Forensic Medicine,"CHILDHOOD VIOLENCE, INFANTICIDE AND STARVATION","Childhood Violence, Infanticide and Starvation",4.5,15
Marrow,Forensic Medicine,TOXICOLOGY,Poisoning: General Considerations,4.4,25
Marrow,Forensic Medicine,TOXICOLOGY,Organophosphorus Poisoning,4.4,14
Marrow,Forensic Medicine,TOXICOLOGY,Corrosives and Asphyxiants,4.4,22
Marrow,Forensic Medicine,TOXICOLOGY,Alcohol Poisoning,4.4,16
Marrow,Forensic Medicine,TOXICOLOGY,Inorganic Irritants - Metallic and Non-metallic,4.4,23
Marrow,Forensic Medicine,TOXICOLOGY,Organic Irritants - Plant and Animal Poisons,4.4,26
Marrow,Forensic Medicine,TOXICOLOGY,CNS - Narcotics and Deliriants,4.4,18
Marrow,Ophthalmology,BASICS OF OPHTHALMOLOGY,Anatomy and Development of Eye,4.4,23
Marrow,Ophthalmology,BASICS OF OPHTHALMOLOGY,Elementary Optics and Physiology of Vision,4.4,30
Marrow,Ophthalmology,ERRORS IN OPTICS,Myopia and Hypermetropia,4.5,21
Marrow,Ophthalmology,ERRORS IN OPTICS,Astigmatism and Errors of Accomodation,4.6,20
Marrow,Ophthalmology,CONJUNCTIVA,Conjunctiva,4.4,29
Marrow,Ophthalmology,SCLERA,Sclera,4.4,15
Marrow,Ophthalmology,CORNEA,Basics of Cornea and Infectious Keratitis,4.5,25
Marrow,Ophthalmology,CORNEA,Non-infectious Disorders of Cornea,4.4,26
Marrow,Ophthalmology,RETINA AND VITREOUS,Retinal vascular disorders and Retinal detachment,4.4,35
Marrow,Ophthalmology,RETINA AND VITREOUS,"Macular disorders, Retinal dystrophies, and Vitreal disorders",4.4,31
Marrow,Ophthalmology,LENS,"Lens - Introduction, Types of Cataract and Clinical Features",4.6,23
Marrow,Ophthalmology,LENS,"Lens - Cataract Surgery, Complications and IOLs",4.6,22
Marrow,Ophthalmology,GLAUCOMA,Glaucoma,4.5,34
Marrow,Ophthalmology,UVEAL TRACT,Uveitis - Anterior and Intermediate,4.5,18
Marrow,Ophthalmology,UVEAL TRACT,Uveitis - Posterior and Panuveitis,4.5,16
Marrow,Ophthalmology,LID AND LACRIMAL APPARATUS,Disorders of the Eyelid,4.4,22
Marrow,Ophthalmology,LID AND LACRIMAL APPARATUS,Disorders of Lacrimal Apparatus and Glands of the Eye,4.6,18
Marrow,Ophthalmology,ORBIT,Orbit Anatomy and Ocular Injuries,4.5,14
Marrow,Ophthalmology,ORBIT,Diseases of the Orbit,4.5,22
Marrow,Ophthalmology,SPECIFIC DISORDERS OF THE EYE,"Strabismus - Introduction, Symptomatology, and Evaluation",4.4,21
Marrow,Ophthalmology,SPECIFIC DISORDERS OF THE EYE,Strabismus - Types and Treatment,4.5,25
Marrow,Ophthalmology,SPECIFIC DISORDERS OF THE EYE,Disorders of Visual Pathway and Pupillary Reflexes,4.4,24
Marrow,Ophthalmology,SPECIFIC DISORDERS OF THE EYE,Disorders of Optic Nerve and Gaze Palsies,4.5,27
Marrow,Ophthalmology,SPECIFIC DISORDERS OF THE EYE,Tumors of Eye,4.4,18
Marrow,Ophthalmology,PRACTICAL OPHTHALMOLOGY,Practical Ophthalmology,4.4,25
Marrow,Ophthalmology,SYSTEMIC OPHTHALMOLOGY,Eye Signs in Systemic Disease,4.5,15
Marrow,Ophthalmology,COMMUNITY OPHTHALMOLOGY,Community Ophthalmology,4.5,11
Marrow,Ophthalmology,INSTRUMENTS,Instruments in Ophthalmology,4.5,23
Marrow,ENT,EAR,Embryology of Ear and Malformations,4.5,12
Marrow,ENT,EAR,Anatomy of External Ear,4.5,18
Marrow,ENT,EAR,Anatomy of Middle Ear,4.5,23
Marrow,ENT,EAR,Anatomy of Mastoid,4.6,9
Marrow,ENT,EAR,Anatomy of Inner Ear,4.5,15
Marrow,ENT,EAR,Disorders of External Ear,4.5,20
Marrow,ENT,EAR,Disorders of Middle Ear,4.5,15
Marrow,ENT,EAR,Cholesteatoma and Types of CSOM,4.5,13
Marrow,ENT,EAR,CSOM - Treatment and Complications,4.6,17
Marrow,ENT,EAR,Otosclerosis,4.5,14
Marrow,ENT,EAR,Meniere’s Disease,4.5,19
Marrow,ENT,EAR,Tumors of Ear,4.5,21
Marrow,ENT,EAR,Anatomy of Facial Nerve,4.5,17
Marrow,ENT,EAR,Facial Nerve Disorders,4.6,21
Marrow,ENT,EAR,Eustachian Tube,4.4,13
Marrow,ENT,EAR,Physiology of hearing and Tuning fork tests,4.5,19
Marrow,ENT,EAR,Audiometric tests and Special tests of hearing,4.6,19
Marrow,ENT,NOSE,Anatomy of Nose,4.5,14
Marrow,ENT,NOSE,Anatomy of Paranasal Sinuses,4.6,10
Marrow,ENT,NOSE,Physiology of Nose and Paranasal Sinuses,4.6,8
Marrow,ENT,NOSE,Epistaxis,4.5,12
Marrow,ENT,NOSE,Congenital Anomalies of Nose and Disease of Nose,4.5,15
Marrow,ENT,NOSE,Rhinitis,4.5,15
Marrow,ENT,NOSE,Disorder of Nasal Septum and Nasal Polyposis,4.5,17
Marrow,ENT,NOSE,Trauma of Nose and Face,4.5,17
Marrow,ENT,NOSE,Tumors of Nose and PNS,4.5,13
Marrow,ENT,NOSE,Sinusitis and its Complication,4.5,27
Marrow,ENT,PHARYNX,Anatomy and Physiology of Pharynx,4.5,13
Marrow,ENT,PHARYNX,Adenoids,4.5,11
Marrow,ENT,PHARYNX,Tonsils,4.5,19
Marrow,ENT,PHARYNX,Abscesses of Pharynx,4.5,16
Marrow,ENT,PHARYNX,Nasopharyngeal Angiofibroma,4.5,12
Marrow,ENT,PHARYNX,Nasopharyngeal Carcinoma,4.5,13
Marrow,ENT,LARYNX,Anatomy and Physiology of Larynx,4.5,17
Marrow,ENT,LARYNX,Stridor and Congenital Conditions of Larynx,4.5,10
Marrow,ENT,LARYNX,Voice and Speech Disorders,4.5,19
Marrow,ENT,LARYNX,Laryngeal Carcinoma,4.5,10
Marrow,ENT,INSTRUMENTS,Instruments,4.4,10
Marrow,Anaesthesia,PREOPERATIVE EVALUATION AND MONITORING,History and Ethical Aspects of Anaesthesia,4.5,10
Marrow,Anaesthesia,PREOPERATIVE EVALUATION AND MONITORING,Preoperative Evaluation,4.5,23
Marrow,Anaesthesia,PREOPERATIVE EVALUATION AND MONITORING,CNS and CVS Monitoring in Anaesthesia,4.5,25
Marrow,Anaesthesia,PREOPERATIVE EVALUATION AND MONITORING,Respiratory Monitoring in Anaesthesia,4.6,15
Marrow,Anaesthesia,AIRWAY MANAGEMENT AND RESUSCITATION,Airway Devices,4.6,12
Marrow,Anaesthesia,AIRWAY MANAGEMENT AND RESUSCITATION,Intubation,4.5,23
Marrow,Anaesthesia,AIRWAY MANAGEMENT AND RESUSCITATION,Breathing Systems,4.5,13
Marrow,Anaesthesia,AIRWAY MANAGEMENT AND RESUSCITATION,Anaesthesia Workstation,4.5,31
Marrow,Anaesthesia,AIRWAY MANAGEMENT AND RESUSCITATION,BLS and PALS,4.5,20
Marrow,Anaesthesia,ACLS,ACLS,4.6,24
Marrow,Anaesthesia,ACLS,Ventilation and O2 Delivery Systems,4.6,10
Marrow,Anaesthesia,MUSCLE RELAXANTS,Depolarising Muscle Relaxants,4.5,25
Marrow,Anaesthesia,MUSCLE RELAXANTS,Non-Depolarising Muscle Relaxants,4.6,28
Marrow,Anaesthesia,GENERAL ANAESTHESIA,"Inhaled Anaesthetics - Properties, N2O and Halothane",4.5,25
Marrow,Anaesthesia,GENERAL ANAESTHESIA,"Inhaled Anaesthetics - Fluorinated Agents, Inert Agents and Therapeutic Gases",4.6,22
Marrow,Anaesthesia,GENERAL ANAESTHESIA,"Intravenous Anaesthesia - Barbiturates, Benzodiazepines & Propofol",4.5,28
Marrow,Anaesthesia,GENERAL ANAESTHESIA,"Intravenous Anaesthesia - Etomidate, Ketamine and Daycare Surgery",4.5,27
Marrow,Anaesthesia,LOCAL AND REGIONAL ANAESTHESIA,Local Anaesthetics - General Properties,4.4,20
Marrow,Anaesthesia,LOCAL AND REGIONAL ANAESTHESIA,Local Anaesthetics - Specific Drugs,4.5,24
Marrow,Anaesthesia,LOCAL AND REGIONAL ANAESTHESIA,Regional Anaesthesia: Techniques,4.4,22
Marrow,Anaesthesia,LOCAL AND REGIONAL ANAESTHESIA,Regional Anaesthesia: Complications and Contraindications,4.4,23
Marrow,Anaesthesia,LOCAL AND REGIONAL ANAESTHESIA,Peripheral Nerve Blocks,4.4,12
Marrow,Anaesthesia,ANAESTHESIA IN SPECIFIC CONDITIONS,Anaesthetic Implication of Concurrent Diseases,4.4,32
Marrow,Anaesthesia,ANAESTHESIA IN SPECIFIC CONDITIONS,Paediatric and Obstetric Anaesthesia,4.4,26
Marrow,Anaesthesia,COMPLICATIONS OF ANAESTHESIA,Complications of Anaesthesia,4.4,29
Marrow,Dermatology,THE SKIN,Anatomy & Physiology of Skin,4.5,25
Marrow,Dermatology,CLINICAL DERMATOLOGY,Dermatopathology of Skin Lesions,4.4,12
Marrow,Dermatology,CLINICAL DERMATOLOGY,Morphology and Investigations of Skin Lesions,4.5,29
Marrow,Dermatology,ADNEXA AND APPENDAGES,"Acne, Rosacea and Others",4.5,21
Marrow,Dermatology,HAIR AND NAILS,Disorders of Hair and Nails,4.5,30
Marrow,Dermatology,SKIN PIGMENTATION,Disorders of Skin Pigmentation,4.5,30
Marrow,Dermatology,ALLERGIC DISORDERS & DERMATITIS,Dermatitis,4.5,23
Marrow,Dermatology,ALLERGIC DISORDERS & DERMATITIS,Urticaria & Angioedema,4.4,14
Marrow,Dermatology,ALLERGIC DISORDERS & DERMATITIS,Reactive Skin Diseases and Drug Eruptions,4.4,13
Marrow,Dermatology,PAPULOSQUAMOUS DISORDERS,Papulosquamous Disorders,4.4,15
Marrow,Dermatology,PAPULOSQUAMOUS DISORDERS,Psoriasis,4.5,21
Marrow,Dermatology,VESICULOBULLOUS DISORDERS,Vesiculobullous Diseases,4.5,31
Marrow,Dermatology,SKIN INFECTIONS & INFESTATIONS,Mycobacterial Infections,4.4,31
Marrow,Dermatology,SKIN INFECTIONS & INFESTATIONS,Bacterial Infections,4.4,20
Marrow,Dermatology,SKIN INFECTIONS & INFESTATIONS,Viral Infections,4.4,22
Marrow,Dermatology,SKIN INFECTIONS & INFESTATIONS,Fungal and Protozoal Infections,4.5,29
Marrow,Dermatology,SKIN INFECTIONS & INFESTATIONS,Arthropod and Parasitic Infections,4.5,17
Marrow,Dermatology,SEXUALLY TRANSMITTED INFECTIONS,Syphilis,4.5,16
Marrow,Dermatology,SEXUALLY TRANSMITTED INFECTIONS,Non Syphilitic Sexually Transmitted Diseases,4.6,20
Marrow,Dermatology,GENODERMATOSES & NUTRITIONAL DISORDERS,Genodermatoses & Nutritional Disorders,4.4,22
Marrow,Dermatology,CONNECTIVE TISSUE DISORDERS,Connective Tissue Disorders,4.4,21
Marrow,Dermatology,SKIN MALIGNANCIES,Skin Malignancies,4.4,24
Marrow,Dermatology,SKIN IN SYSTEMIC DISORDERS,Systemic Diseases and Skin,4.4,24
Marrow,Psychiatry,FACETS OF PSYCHIATRY,Theories of Personality & Defense Mechanisms,4.4,26
Marrow,Psychiatry,CLINICAL PSYCHIATRY,Symptoms and Clinical Manifestations in Psychiatry,4.5,13
Marrow,Psychiatry,CLINICAL PSYCHIATRY,Assessment in Psychiatry,4.4,14
Marrow,Psychiatry,CLINICAL PSYCHIATRY,Specific Treatment Modalities,4.4,22
Marrow,Psychiatry,NEUROPSYCHIATRY,Neuropsychiatric Aspects of Systemic Disorders,4.4,14
Marrow,Psychiatry,PSYCHOTIC DISORDERS,Schizophrenia,4.5,26
Marrow,Psychiatry,PSYCHOTIC DISORDERS,Other Psychotic Disorders,4.5,10
Marrow,Psychiatry,NEUROCOGNITIVE DISORDERS,Delirium,4.5,9
Marrow,Psychiatry,NEUROCOGNITIVE DISORDERS,Dementia,4.5,17
Marrow,Psychiatry,NEUROCOGNITIVE DISORDERS,Amnestic Disorders and Other Neurocognitive Disorders,4.4,7
Marrow,Psychiatry,MOOD DISORDERS,Depressive Disorders,4.5,30
Marrow,Psychiatry,MOOD DISORDERS,Bipolar and Related Disorders,4.5,14
Marrow,Psychiatry,SUBSTANCE-RELATED DISORDERS,Alcohol-Related Disorders,4.5,14
Marrow,Psychiatry,SUBSTANCE-RELATED DISORDERS,Other Substance Use Disorders,4.5,15
Marrow,Psychiatry,NEUROSIS,Anxiety Disorders,4.5,14
Marrow,Psychiatry,NEUROSIS,Obsessive-Compulsive and Related Disorders,4.5,17
Marrow,Psychiatry,NEUROSIS,Trauma and Stress-Related Disorders,4.5,13
Marrow,Psychiatry,PERSONALITY DISORDERS,Personality Disorders,4.5,12
Marrow,Psychiatry,SPECIFIC PSYCHIATRIC CONDITIONS,Somatoform Disorders,4.4,7
Marrow,Psychiatry,SPECIFIC PSYCHIATRIC CONDITIONS,"Factitious Disorders, Malingering and Criminality",4.5,7
Marrow,Psychiatry,SPECIFIC PSYCHIATRIC CONDITIONS,Dissociative Disorders,4.5,10
Marrow,Psychiatry,SPECIFIC PSYCHIATRIC CONDITIONS,Sleep Disorders,4.5,19
Marrow,Psychiatry,SPECIFIC PSYCHIATRIC CONDITIONS,Eating Disorders,4.5,13
Marrow,Psychiatry,SPECIFIC PSYCHIATRIC CONDITIONS,Impulse-Control Disorders,4.4,7
Marrow,Psychiatry,PSYCHIATRIC EMERGENCIES,Psychiatric Emergencies,4.4,12
Marrow,Psychiatry,SEXUALITY,Normal Sexuality and Sexual Dysfunction,4.5,11
Marrow,Psychiatry,SEXUALITY,Sexual Disorders and Sexual Abuse,4.4,9
Marrow,Psychiatry,CHILD PSYCHIATRY,Intellectual Disability & Specific Learning Disorders,4.4,9
Marrow,Psychiatry,CHILD PSYCHIATRY,Autism Spectrum Disorder,4.4,6
Marrow,Psychiatry,CHILD PSYCHIATRY,Attention-Deficit Disorders and Disruptive Behaviour,4.5,10
Marrow,Psychiatry,CHILD PSYCHIATRY,Neurodevelopmental Motor Disorders,4.4,8
Marrow,Psychiatry,CHILD PSYCHIATRY,Special Areas of Childhood Mental Health,4.4,9
Marrow,Psychiatry,FORENSIC PSYCHIATRY,Forensic Psychiatry,4.4,8
Marrow,Radiology,FUNDAMENTALS OF RADIOLOGY,Fundamentals of Imaging,4.5,16
Marrow,Radiology,FUNDAMENTALS OF RADIOLOGY,Radiation - Exposure and Protection,4.5,14
Marrow,Radiology,FUNDAMENTALS OF RADIOLOGY,Contrast Media and Patient Preparation,4.5,8
Marrow,Radiology,FUNDAMENTALS OF RADIOLOGY,Imaging Modalities - Identification,4.5,10
Marrow,Radiology,DIAGNOSTIC RADIOLOGY,Basics of Chest Imaging,4.5,12
Marrow,Radiology,DIAGNOSTIC RADIOLOGY,Chest Imaging - Lung Diseases,4.5,23
Marrow,Radiology,DIAGNOSTIC RADIOLOGY,Chest Imaging - Pleural and Mediastinal Conditions,4.5,11
Marrow,Radiology,DIAGNOSTIC RADIOLOGY,Chest Imaging - Cardiovascular Diseases,4.5,20
Marrow,Radiology,DIAGNOSTIC RADIOLOGY,"Neuroimaging - Neurovascular Disorders, Trauma & CT Brain",4.5,12
Marrow,Radiology,DIAGNOSTIC RADIOLOGY,"Neuroimaging - CNS Tumors, Infections & Neurocutaneous Syndromes",4.5,21
Marrow,Radiology,DIAGNOSTIC RADIOLOGY,Neuroimaging - MRI Brain in Neurodegenerative & Other CNS Disorders,4.6,13
Marrow,Radiology,DIAGNOSTIC RADIOLOGY,Head and Neck Imaging,4.7,6
Marrow,Radiology,DIAGNOSTIC RADIOLOGY,GI Imaging - Upper GI Disorders & Pneumoperitoneum,4.4,18
Marrow,Radiology,DIAGNOSTIC RADIOLOGY,GI Imaging - Lower GI Disorders,4.5,18
Marrow,Radiology,DIAGNOSTIC RADIOLOGY,Hepatobiliary and Pancreatic Imaging,4.5,18
Marrow,Radiology,DIAGNOSTIC RADIOLOGY,Renal Imaging,4.5,26
Marrow,Radiology,DIAGNOSTIC RADIOLOGY,Women's Imaging,4.5,15
Marrow,Radiology,DIAGNOSTIC RADIOLOGY,Musculoskeletal Imaging,4.4,27
Marrow,Radiology,RADIONUCLIDE IMAGING AND RADIATION ONCOLOGY,Radionuclide Imaging,4.5,20
Marrow,Radiology,RADIONUCLIDE IMAGING AND RADIATION ONCOLOGY,Radiotherapy,4.4,16
Marrow,Radiology,EMERGENCY AND INTERVENTIONAL RADIOLOGY,Emergency and Interventional Radiology,4.6,7
Marrow,Medicine,GENERAL,Clinical examination,4.5,20
Marrow,Medicine,GENERAL,Acid-Base Disorders,4.5,25
Marrow,Medicine,ENDOCRINE SYSTEM,General Principles of Endocrinology,4.5,13
Marrow,Medicine,ENDOCRINE SYSTEM,Disorders of Anterior Pituitary,4.5,16
Marrow,Medicine,ENDOCRINE SYSTEM,Pituitary Tumours and Sheehan's Syndrome,4.5,15
Marrow,Medicine,ENDOCRINE SYSTEM,"Posterior Pituitary - ADH, Oxytocin & Diabetes Insipidus",4.5,15
Marrow,Medicine,ENDOCRINE SYSTEM,Syndrome of Inappropriate Anti-Diuretic Hormone Secretion (SIADH),4.5,9
Marrow,Medicine,ENDOCRINE SYSTEM,Thyroid Disorders - Clinical Features,4.5,21
Marrow,Medicine,ENDOCRINE SYSTEM,Thyroid Disorders - Management,4.5,13
Marrow,Medicine,ENDOCRINE SYSTEM,Multiple Endocrine Neoplasia,4.5,13
Marrow,Medicine,ENDOCRINE SYSTEM,Pheochromocytoma,4.5,14
Marrow,Medicine,ENDOCRINE SYSTEM,Cushing's Syndrome,4.5,16
Marrow,Medicine,ENDOCRINE SYSTEM,Adrenal Insufficiency and Hyperaldosteronism,4.5,16
Marrow,Medicine,ENDOCRINE SYSTEM,"Diabetes Mellitus: Types, Clinical Features and Management",4.5,25
Marrow,Medicine,ENDOCRINE SYSTEM,Diabetes Mellitus: Complications and their Management,4.5,29
Marrow,Medicine,ENDOCRINE SYSTEM,Reproductive Endocrinology,4.5,14
Marrow,Medicine,ENDOCRINE SYSTEM,Disorders of Parathyroid and Calcium Homeostasis,4.5,22
Marrow,Medicine,ENDOCRINE SYSTEM,Obesity,4.4,13
Marrow,Medicine,GASTROINTESTINAL SYSTEM,Hyperbilirubinemias and Tests of Liver Function,4.5,21
Marrow,Medicine,GASTROINTESTINAL SYSTEM,Alcoholic Liver Diseases and Non-Alcoholic Fatty Liver Disease,4.5,13
Marrow,Medicine,GASTROINTESTINAL SYSTEM,Viral Hepatitis,4.5,26
Marrow,Medicine,GASTROINTESTINAL SYSTEM,Autoimmune Disorders of Hepatobiliary System,4.4,12
Marrow,Medicine,GASTROINTESTINAL SYSTEM,Acute Liver Failure and Liver Transplantation,4.4,19
Marrow,Medicine,GASTROINTESTINAL SYSTEM,Hemochromatosis and Wilson's disease,4.6,18
Marrow,Medicine,GASTROINTESTINAL SYSTEM,Cirrhosis and Complications,4.5,24
Marrow,Medicine,GASTROINTESTINAL SYSTEM,Peptic Ulcer Disease and Related Disorders,4.5,21
Marrow,Medicine,GASTROINTESTINAL SYSTEM,Evaluation of Diarrhea,4.4,12
Marrow,Medicine,GASTROINTESTINAL SYSTEM,Irritable Bowel Syndrome,4.5,15
Marrow,Medicine,GASTROINTESTINAL SYSTEM,Inflammatory Bowel Disease - Clinical Features and Diagnosis,4.5,19
Marrow,Medicine,GASTROINTESTINAL SYSTEM,Inflammatory Bowel Disease - Complications and Treatment,4.4,18
Marrow,Medicine,GASTROINTESTINAL SYSTEM,Malabsorption Syndromes,4.5,25
Marrow,Medicine,GASTROINTESTINAL SYSTEM,Other Gastrointestinal Conditions,4.5,12
Marrow,Medicine,RHEUMATOLOGY AND IMMUNOLOGY,Large and medium vessel vasculitis,4.5,16
Marrow,Medicine,RHEUMATOLOGY AND IMMUNOLOGY,Small vessel vasculitis,4.5,15
Marrow,Medicine,RHEUMATOLOGY AND IMMUNOLOGY,Crystal Arthropathies,4.5,10
